"","k","m","delta.1","delta.2","delta.3","delta.4","delta.5","delta.6","delta.7","delta.8","delta.9","delta.10","delta.11","delta.12","delta.13","delta.14","sigma_obs","beta.1","beta.2","beta.3","beta.4","beta.5","beta.6","beta.7","beta.8","beta.9","beta.10","beta.11","beta.12","beta.13","beta.14","beta.15","beta.16","beta.17","beta.18","beta.19","beta.20","trend"
"1",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0519984700573392
"2",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0573000929424496
"3",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0625872305353567
"4",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0678743681086041
"5",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0731615056788708
"6",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0784631285430703
"7",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0837502660979247
"8",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0890374037177566
"9",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0943245413592372
"10",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.0996261643056875
"11",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.104913302103996
"12",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.110200439964463
"13",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.115496134452812
"14",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.120809902371603
"15",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.126109151808633
"16",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.131408715351787
"17",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.13670827889494
"18",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.142022361790266
"19",-0.0952409029224066,-0.0519984700573392,-2.92289571089975e-10,3.54144076440847e-10,5.36919750268672e-11,2.60106294990023e-10,1.75288185392977e-11,-1.17048720645759e-09,-3.89971933759697e-10,6.53373745257279e-11,-2.89039591022966e-09,-1.11968781309695e-09,-0.000154136515965828,-6.40375972847893e-05,-1.76909928326611e-10,-5.65821303330315e-06,0.0689950699370655,0.00377363053381689,-0.199984005132621,0.00762640225889229,-0.175859627653091,0.0116374491100691,-0.135651692127118,0.015885890110208,-0.079359239004333,0.0204508224664533,-0.00698092526022942,0.025411314946863,0.0814849756903556,0.0308463967102516,0.186040573518331,0.0368350590094329,0.306688360681397,0.0434562358691154,0.443431211879418,0.050788802101929,0.596272384455569,-0.14732192533342
